,target,output,question
74,yes,yes,Mary is carrying no object.
75,no,no,Mary is carrying three objects.
76,yes,no,Sandra is carrying one object.
77,no,no,Sandra is carrying no object.
78,yes,no,Mary is carrying one object.
79,no,no,Mary is carrying three objects.
80,yes,no,Sandra is carrying no object.
81,no,no,Sandra is carrying three objects.
82,yes,no,Mary is carrying no object.
83,no,no,Mary is carrying two objects.
84,yes,no,Sandra is carrying one object.
85,no,no,Sandra is carrying no object.
86,yes,no,Daniel is carrying one object.
87,no,no,Daniel is carrying no object.
88,yes,no,Sandra is carrying one object.
89,no,no,Sandra is carrying three objects.
90,yes,no,Sandra is carrying one object.
91,no,no,Sandra is carrying two objects.
92,yes,no,Sandra is carrying no object.
93,no,no,Sandra is carrying one object.
94,yes,no,John is carrying two objects.
95,no,no,John is carrying one object.
96,yes,no,Mary is carrying one object.
97,no,no,Mary is carrying two objects.
98,yes,no,Mary is carrying no object.
99,no,no,Mary is carrying one object.
100,yes,no,Sandra is carrying one object.
101,no,no,Sandra is carrying two objects.
102,yes,no,Sandra is carrying no object.
103,no,no,Sandra is carrying one object.
104,yes,no,Mary is carrying one object.
105,no,no,Mary is carrying no object.
106,yes,no,Sandra is carrying no object.
107,no,no,Sandra is carrying two objects.
108,yes,no,Daniel is carrying one object.
109,no,no,Daniel is carrying three objects.
110,yes,no,Daniel is carrying no object.
111,no,no,Daniel is carrying one object.
112,yes,no,John is carrying one object.
113,no,no,John is carrying no object.
114,yes,no,Daniel is carrying one object.
115,no,no,Daniel is carrying two objects.
116,yes,no,John is carrying no object.
117,no,no,John is carrying two objects.
118,yes,no,Daniel is carrying two objects.
119,no,no,Daniel is carrying one object.
120,yes,yes,Daniel is carrying one object.
121,no,no,Daniel is carrying two objects.
122,yes,no,Sandra is carrying no object.
123,no,no,Sandra is carrying two objects.
124,yes,no,Daniel is carrying one object.
125,no,no,Daniel is carrying two objects.
126,yes,no,John is carrying one object.
127,no,no,John is carrying no object.
128,yes,no,Daniel is carrying no object.
129,no,no,Daniel is carrying two objects.
130,yes,no,Sandra is carrying no object.
131,no,no,Sandra is carrying two objects.
132,yes,yes,John is carrying one object.
133,no,no,John is carrying two objects.
134,yes,no,Mary is carrying one object.
135,no,no,Mary is carrying no object.
136,yes,no,John is carrying no object.
137,no,no,John is carrying one object.
138,yes,no,Sandra is carrying no object.
139,no,no,Sandra is carrying one object.
140,yes,no,Sandra is carrying no object.
141,no,no,Sandra is carrying two objects.
142,yes,no,Mary is carrying no object.
143,no,no,Mary is carrying one object.
144,yes,no,Mary is carrying no object.
145,no,no,Mary is carrying three objects.
146,yes,no,Mary is carrying no object.
147,no,no,Mary is carrying two objects.
148,yes,no,John is carrying no object.
149,no,no,John is carrying three objects.
150,yes,no,John is carrying no object.
151,no,no,John is carrying two objects.
152,yes,no,Mary is carrying no object.
153,no,no,Mary is carrying two objects.
154,yes,no,John is carrying one object.
155,no,no,John is carrying two objects.
156,yes,no,Sandra is carrying no object.
157,no,no,Sandra is carrying two objects.
158,yes,no,Daniel is carrying one object.
159,no,no,Daniel is carrying three objects.
160,yes,no,Daniel is carrying no object.
161,no,no,Daniel is carrying three objects.
162,yes,no,Mary is carrying one object.
163,no,no,Mary is carrying no object.
164,yes,no,Daniel is carrying one object.
165,no,no,Daniel is carrying three objects.
166,yes,no,Sandra is carrying one object.
167,no,no,Sandra is carrying two objects.
168,yes,no,Daniel is carrying no object.
169,no,no,Daniel is carrying two objects.
170,yes,no,Sandra is carrying no object.
171,no,no,Sandra is carrying one object.
172,yes,no,John is carrying no object.
173,no,no,John is carrying one object.
174,yes,no,Mary is carrying no object.
175,no,no,Mary is carrying one object.
176,yes,no,Daniel is carrying no object.
177,no,no,Daniel is carrying two objects.
178,yes,no,Daniel is carrying no object.
179,no,no,Daniel is carrying three objects.
180,yes,no,Daniel is carrying no object.
181,no,no,Daniel is carrying two objects.
182,yes,no,Sandra is carrying two objects.
183,no,no,Sandra is carrying no object.
184,yes,no,Mary is carrying one object.
185,no,no,Mary is carrying two objects.
186,yes,no,Sandra is carrying one object.
187,no,no,Sandra is carrying no object.
188,yes,no,John is carrying one object.
189,no,no,John is carrying two objects.
190,yes,no,John is carrying one object.
191,no,no,John is carrying no object.
192,yes,yes,John is carrying one object.
193,no,no,John is carrying two objects.
194,yes,no,Mary is carrying one object.
195,no,no,Mary is carrying two objects.
196,yes,no,Daniel is carrying no object.
197,no,no,Daniel is carrying one object.
198,yes,no,John is carrying one object.
199,no,no,John is carrying two objects.
