,target,output,question
83,no,$no$ ,The football is in the bedroom.
84,yes,no,The apple is in the garden.
85,no,no,The apple is in the bedroom.
86,yes,no,The apple is in the bedroom.
87,no,$no$,The apple is in the bathroom.
88,yes,no ,The milk is in the kitchen.
89,no,No. ,The milk is in the bathroom.
90,yes,$no$ ,The milk is in the bedroom.
91,no,$no$ ,The milk is in the office.
92,yes,no,The apple is in the hallway.
93,no,$no$ ,The apple is in the office.
94,yes,$no$,The milk is in the garden.
95,no,$no$,The milk is in the bedroom.
96,yes,no,The football is in the kitchen.
97,no,$no$ ,The football is in the bedroom.
98,yes,$no$,The football is in the bathroom.
99,no,$no$ ,The football is in the office.
100,yes,$no$ ,The milk is in the garden.
101,no,$no$,The milk is in the bedroom.
102,yes,$no$ ,The apple is in the bedroom.
103,no,$no$ ,The apple is in the office.
104,yes,$no$,The milk is in the hallway.
105,no,$no$,The milk is in the office.
106,yes,$no$ ,The milk is in the hallway.
107,no,$no$ ,The milk is in the garden.
108,yes,$no$ ,The milk is in the office.
109,no,$no$ ,The milk is in the hallway.
110,yes,$no$ ,The apple is in the kitchen.
111,no,$no$ ,The apple is in the office.
112,yes,no ,The milk is in the bathroom.
113,no,no,The milk is in the bedroom.
114,yes,$no$,The milk is in the bathroom.
115,no,$no$,The milk is in the office.
116,yes,$no$ ,The football is in the office.
117,no,$no$,The football is in the bathroom.
118,yes,$no$ ,The football is in the garden.
119,no,$no$ ,The football is in the bathroom.
120,yes,$no$ ,The apple is in the kitchen.
121,no,$no$ ,The apple is in the bedroom.
122,yes,$no$ ,The apple is in the bathroom.
123,no,no,The apple is in the hallway.
124,yes,$no$ ,The football is in the garden.
125,no,no,The football is in the kitchen.
126,yes,$no$ ,The milk is in the bathroom.
127,no,$no$ ,The milk is in the hallway.
128,yes,no ,The milk is in the bathroom.
129,no,no,The milk is in the kitchen.
130,yes,$no$ ,The milk is in the hallway.
131,no,$no$,The milk is in the bathroom.
132,yes,$no$ ,The football is in the bedroom.
133,no,$no$ ,The football is in the office.
134,yes,$yes$ ,The football is in the garden.
135,no,$no$ ,The football is in the bedroom.
136,yes,no,The football is in the bedroom.
137,no,no,The football is in the bathroom.
138,yes,$no$ ,The apple is in the bathroom.
139,no,$no$ ,The apple is in the hallway.
140,yes,no,The milk is in the garden.
141,no,no,The milk is in the kitchen.
142,yes,$no$,The milk is in the office.
143,no,$no$ ,The milk is in the garden.
144,yes,$no$ ,The football is in the office.
145,no,$no$ ,The football is in the garden.
146,yes,$no$ ,The football is in the hallway.
147,no,$no$ ,The football is in the kitchen.
148,yes,$no$,The football is in the garden.
149,no,$no$ ,The football is in the kitchen.
150,yes,$no$ ,The milk is in the office.
151,no,$no$,The milk is in the bedroom.
152,yes,no ,The football is in the kitchen.
153,no,no,The football is in the hallway.
154,yes,no,The milk is in the office.
155,no,$no$ ,The milk is in the bedroom.
156,yes,$no$ ,The apple is in the kitchen.
157,no,$no$ ,The apple is in the bedroom.
158,yes,$no$,The football is in the kitchen.
159,no,$no$,The football is in the hallway.
160,yes,$no$ ,The football is in the office.
161,no,$no$ ,The football is in the kitchen.
162,yes,$no$ ,The apple is in the kitchen.
163,no,$no$ ,The apple is in the office.
164,yes,$no$ ,The apple is in the office.
165,no,$no$ ,The apple is in the hallway.
166,yes,$no$ ,The football is in the bathroom.
167,no,NO,The football is in the office.
168,yes,$no$,The football is in the bathroom.
169,no,$no$ ,The football is in the bedroom.
170,yes,$no$,The milk is in the office.
171,no,$no$,The milk is in the bedroom.
172,yes,$no$,The apple is in the bathroom.
173,no,$no$,The apple is in the bedroom.
174,yes,no,The milk is in the bedroom.
175,no,$no$ ,The milk is in the kitchen.
176,yes,$no$ ,The apple is in the hallway.
177,no,$no$ ,The apple is in the kitchen.
178,yes,$no$ ,The milk is in the bedroom.
179,no,$no$ ,The milk is in the kitchen.
180,yes,$no$ ,The apple is in the bedroom.
181,no,$no$ ,The apple is in the garden.
182,yes,"no
",The football is in the bathroom.
183,no,"no
",The football is in the hallway.
184,yes,no,The football is in the bedroom.
185,no,$no$,The football is in the garden.
186,yes,$no$ ,The football is in the bedroom.
187,no,no,The football is in the office.
188,yes,"no
",The apple is in the bedroom.
189,no,"no
",The apple is in the bathroom.
190,yes,$no$ ,The football is in the kitchen.
191,no,no ,The football is in the office.
192,yes,$no$,The milk is in the garden.
193,no,$no$,The milk is in the office.
194,yes,no,The milk is in the office.
195,no,$yes$ ,The milk is in the hallway.
196,yes,$no$,The milk is in the bedroom.
197,no,$no$,The milk is in the office.
198,yes,no,The apple is in the kitchen.
199,no,no ,The apple is in the bedroom.
